"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Duration
"(32, 15)","(32, 41)","(48, 49)","(73, 42)","(70, 20)","(54, 12)",
"(32, 15)","(32, 41)","(47, 49)","(73, 42)","(70, 20)","(54, 12)",
"(31, 16)","(32, 41)","(47, 49)","(70, 45)","(70, 20)","(54, 12)",
"(33, 21)","(49, 15)","(69, 25)","(68, 41)","(52, 46)","(33, 36)",
"(32, 14)","(32, 41)","(48, 49)","(72, 44)","(70, 20)","(55, 12)",
"(32, 14)","(32, 41)","(48, 49)","(72, 44)","(70, 20)","(55, 12)",
"(32, 14)","(32, 41)","(48, 49)","(72, 44)","(70, 20)","(55, 12)",
"(34, 21)","(50, 14)","(69, 25)","(68, 41)","(51, 46)","(33, 36)",
"(34, 21)","(50, 14)","(69, 25)","(68, 41)","(51, 46)","(33, 36)",
"(33, 21)","(49, 15)","(69, 25)","(68, 41)","(51, 46)","(32, 34)",
"(33, 21)","(49, 15)","(69, 25)","(68, 41)","(51, 46)","(32, 34)",
"(30, 18)","(34, 42)","(48, 49)","(71, 44)","(69, 19)","(54, 12)",
"(30, 18)","(34, 42)","(48, 49)","(71, 44)","(69, 19)","(54, 12)",
"(32, 16)","(33, 41)","(47, 49)","(71, 44)","(70, 19)","(52, 11)",
"(52, 14)","(68, 23)","(69, 39)","(50, 46)","(33, 36)","(33, 21)",
"(52, 14)","(68, 23)","(69, 39)","(50, 46)","(33, 36)","(33, 21)",
"(52, 11)","(30, 18)","(30, 38)","(47, 49)","(73, 41)","(71, 21)",
"(30, 18)","(32, 41)","(48, 49)","(71, 44)","(71, 20)","(54, 12)",
"(34, 21)","(49, 15)","(66, 21)","(68, 41)","(53, 46)","(32, 35)",
"(32, 14)","(31, 40)","(47, 49)","(73, 42)","(70, 20)","(55, 12)",
"(32, 14)","(31, 40)","(47, 49)","(73, 42)","(70, 20)","(55, 12)",
"(31, 16)","(32, 41)","(48, 49)","(73, 42)","(70, 20)","(54, 12)",
"(31, 16)","(32, 41)","(48, 49)","(73, 42)","(70, 20)","(54, 12)",
"(32, 14)","(32, 41)","(47, 49)","(73, 42)","(69, 19)","(54, 12)",
"(30, 18)","(34, 42)","(47, 49)","(72, 43)","(70, 20)","(55, 12)",
"(32, 13)","(32, 41)","(48, 49)","(71, 44)","(70, 20)","(54, 12)",
"(30, 18)","(34, 42)","(47, 49)","(71, 44)","(70, 19)","(51, 11)",
"(30, 18)","(34, 42)","(47, 49)","(71, 44)","(70, 19)","(51, 11)",
"(32, 14)","(32, 41)","(48, 49)","(72, 44)","(70, 20)","(52, 11)",
"(32, 14)","(32, 41)","(48, 49)","(72, 44)","(70, 20)","(52, 11)",
"(30, 18)","(32, 41)","(47, 49)","(72, 44)","(70, 19)","(54, 12)",
"(33, 21)","(49, 15)","(69, 25)","(68, 41)","(51, 46)","(33, 36)",
"(30, 18)","(32, 41)","(47, 49)","(72, 44)","(70, 19)","(54, 12)",
"(32, 14)","(33, 41)","(48, 49)","(71, 44)","(70, 20)","(53, 12)",
"(32, 14)","(34, 42)","(48, 49)","(71, 44)","(70, 20)","(53, 12)",
"(33, 12)","(31, 40)","(48, 49)","(73, 42)","(70, 20)","(53, 11)",
"(34, 20)","(52, 14)","(69, 26)","(68, 41)","(52, 46)","(33, 36)",
"(32, 14)","(32, 41)","(48, 49)","(73, 42)","(70, 20)","(54, 12)",
"(32, 14)","(32, 41)","(48, 49)","(70, 45)","(70, 20)","(53, 12)",
"(32, 15)","(31, 40)","(48, 49)","(70, 45)","(70, 20)","(55, 12)",
"(32, 14)","(34, 42)","(48, 49)","(73, 42)","(70, 20)","(52, 11)",
"(34, 20)","(49, 15)","(69, 25)","(68, 41)","(51, 46)","(33, 36)",
"(31, 16)","(31, 40)","(47, 49)","(72, 44)","(70, 20)","(54, 12)",
"(34, 20)","(49, 15)","(69, 25)","(68, 41)","(51, 46)","(33, 36)",
"(31, 17)","(31, 40)","(47, 49)","(72, 44)","(70, 20)","(54, 12)",
"(34, 20)","(49, 15)","(69, 25)","(68, 41)","(51, 46)","(33, 36)",
"(31, 17)","(31, 40)","(47, 49)","(72, 44)","(70, 20)","(54, 12)",
"(35, 19)","(54, 15)","(67, 22)","(69, 39)","(50, 46)","(32, 35)",
"(31, 16)","(34, 42)","(48, 49)","(72, 43)","(70, 20)","(55, 12)",
"(34, 20)","(49, 15)","(68, 23)","(69, 39)","(51, 46)","(32, 35)",
"(31, 16)","(34, 42)","(48, 49)","(72, 43)","(70, 20)","(54, 12)",
"(30, 18)","(31, 40)","(48, 49)","(71, 44)","(69, 19)","(55, 12)",
"(32, 14)","(32, 41)","(48, 49)","(71, 44)","(69, 19)","(55, 12)",
"(34, 21)","(50, 15)","(66, 21)","(68, 41)","(44, 44)","(33, 36)",
"(32, 14)","(32, 41)","(48, 49)","(71, 44)","(70, 20)","(54, 12)",
"(34, 21)","(50, 15)","(66, 21)","(68, 41)","(44, 44)","(33, 36)",
"(32, 14)","(32, 41)","(48, 49)","(71, 44)","(70, 20)","(54, 12)",
"(31, 17)","(34, 42)","(48, 49)","(70, 46)","(70, 20)","(54, 12)",
"(31, 17)","(33, 41)","(47, 49)","(70, 46)","(70, 20)","(54, 12)",
"(33, 21)","(49, 15)","(66, 21)","(68, 41)","(44, 44)","(32, 34)",
"(33, 21)","(49, 15)","(66, 21)","(68, 41)","(44, 44)","(32, 34)",
"(33, 21)","(49, 15)","(66, 21)","(68, 41)","(44, 44)","(32, 34)",
"(31, 16)","(32, 41)","(48, 49)","(70, 45)","(70, 20)","(54, 12)",
"(30, 18)","(34, 42)","(48, 49)","(70, 45)","(70, 20)","(54, 12)",
"(31, 17)","(31, 40)","(47, 49)","(71, 44)","(69, 19)","(53, 11)",
"(32, 13)","(31, 40)","(47, 49)","(71, 44)","(69, 19)","(53, 11)",
"(32, 14)","(31, 40)","(47, 49)","(73, 43)","(69, 19)","(55, 12)",
"(30, 17)","(30, 38)","(51, 49)","(73, 43)","(69, 19)","(55, 12)",
"(31, 16)","(31, 40)","(47, 49)","(70, 45)","(70, 20)","(55, 12)",
"(53, 14)","(68, 24)","(69, 39)","(49, 46)","(33, 36)","(33, 21)",
"(53, 14)","(69, 25)","(69, 39)","(49, 46)","(33, 36)","(33, 21)",
"(52, 11)","(30, 18)","(31, 39)","(47, 49)","(72, 42)","(71, 21)",
"(32, 16)","(34, 42)","(47, 49)","(71, 44)","(70, 20)","(52, 11)",
"(32, 14)","(34, 42)","(48, 49)","(73, 43)","(71, 21)","(52, 11)",
"(32, 14)","(31, 40)","(48, 49)","(73, 43)","(70, 20)","(53, 11)",
"(30, 17)","(32, 41)","(47, 49)","(73, 42)","(68, 19)","(54, 12)",
"(53, 11)","(31, 16)","(30, 39)","(48, 49)","(72, 44)","(71, 21)",
"(53, 11)","(31, 16)","(30, 39)","(48, 49)","(72, 44)","(71, 21)",
"(34, 21)","(52, 14)","(69, 25)","(68, 41)","(44, 44)","(32, 34)",
"(30, 18)","(31, 40)","(47, 49)","(72, 44)","(70, 20)","(54, 12)",
"(34, 21)","(52, 14)","(69, 25)","(68, 41)","(44, 44)","(32, 34)",
"(30, 18)","(31, 40)","(47, 49)","(72, 44)","(70, 20)","(54, 12)",
"(32, 13)","(32, 41)","(48, 49)","(72, 44)","(70, 20)","(55, 12)",
"(32, 13)","(31, 40)","(48, 49)","(73, 42)","(70, 20)","(55, 12)",
"(33, 21)","(49, 15)","(66, 21)","(68, 41)","(44, 44)","(33, 36)",
"(32, 13)","(33, 41)","(47, 49)","(71, 44)","(71, 21)","(54, 12)",
"(33, 21)","(49, 15)","(66, 21)","(68, 41)","(44, 44)","(33, 36)",
"(32, 13)","(33, 41)","(47, 49)","(71, 44)","(70, 20)","(54, 12)",
"(33, 21)","(53, 15)","(67, 22)","(68, 41)","(44, 44)","(32, 35)",
"(32, 13)","(29, 38)","(47, 49)","(70, 46)","(70, 20)","(54, 12)",
"(33, 21)","(53, 15)","(67, 22)","(68, 41)","(44, 44)","(32, 35)",
"(33, 21)","(53, 15)","(67, 22)","(68, 41)","(44, 44)","(32, 35)",
"(33, 21)","(49, 15)","(66, 21)","(68, 41)","(44, 44)","(32, 34)",
"(33, 21)","(49, 15)","(66, 21)","(68, 41)","(44, 44)","(32, 34)",
"(34, 20)","(49, 15)","(69, 25)","(68, 41)","(49, 46)","(35, 39)",
"(34, 20)","(49, 15)","(69, 25)","(68, 41)","(49, 46)","(35, 39)",
"(33, 21)","(49, 15)","(69, 24)","(69, 40)","(50, 46)","(31, 37)",
"(31, 17)","(34, 42)","(47, 49)","(71, 44)","(70, 20)","(55, 12)",
"(31, 17)","(32, 41)","(48, 49)","(73, 42)","(68, 18)","(55, 12)",
"(32, 13)","(32, 41)","(48, 49)","(73, 42)","(70, 20)","(51, 11)",
"(32, 13)","(32, 41)","(48, 49)","(73, 42)","(70, 20)","(51, 11)",
"(31, 17)","(32, 41)","(47, 49)","(72, 44)","(70, 19)","(54, 12)",
"(53, 14)","(68, 24)","(69, 39)","(50, 46)","(34, 37)","(33, 22)",
"(30, 19)","(34, 42)","(47, 49)","(72, 44)","(70, 20)","(54, 12)",
"(31, 17)","(34, 42)","(47, 49)","(72, 44)","(70, 20)","(54, 12)",
"(34, 20)","(52, 14)","(69, 25)","(68, 41)","(44, 44)","(32, 35)",
"(30, 18)","(32, 41)","(47, 49)","(71, 44)","(68, 18)","(54, 12)",
"(34, 20)","(50, 14)","(69, 25)","(68, 41)","(44, 44)","(32, 35)",
"(30, 18)","(32, 41)","(47, 49)","(71, 44)","(68, 18)","(54, 12)",
"(31, 16)","(34, 42)","(47, 49)","(72, 44)","(70, 20)","(54, 12)",
"(53, 14)","(68, 24)","(69, 39)","(50, 46)","(32, 35)","(33, 21)",
"(33, 21)","(49, 15)","(66, 21)","(68, 41)","(44, 44)","(32, 34)",
"(30, 18)","(34, 42)","(48, 49)","(72, 44)","(70, 20)","(53, 12)",
"(30, 18)","(34, 42)","(48, 49)","(72, 44)","(70, 20)","(53, 12)",
"(30, 18)","(34, 42)","(48, 49)","(72, 44)","(70, 20)","(53, 12)",
"(34, 20)","(52, 14)","(66, 21)","(68, 41)","(44, 44)","(32, 35)",
"(34, 20)","(52, 14)","(66, 21)","(68, 41)","(44, 44)","(32, 35)",
"(32, 13)","(34, 42)","(48, 49)","(72, 44)","(71, 20)","(55, 12)",
"(53, 14)","(68, 23)","(69, 39)","(49, 46)","(33, 36)","(33, 22)",
"(53, 14)","(68, 23)","(69, 39)","(49, 46)","(34, 37)","(33, 22)",
"(30, 18)","(34, 42)","(48, 49)","(72, 44)","(70, 20)","(51, 11)",
"(30, 18)","(34, 42)","(48, 49)","(72, 44)","(70, 20)","(51, 11)",
"(33, 21)","(50, 15)","(69, 25)","(68, 41)","(44, 44)","(32, 35)",
"(32, 14)","(31, 40)","(47, 49)","(73, 43)","(70, 19)","(55, 12)",
"(33, 21)","(50, 15)","(69, 25)","(68, 41)","(44, 44)","(32, 35)",
"(32, 14)","(31, 40)","(47, 49)","(73, 43)","(70, 19)","(54, 12)",
"(32, 14)","(34, 42)","(48, 49)","(73, 42)","(70, 20)","(54, 12)",
"(32, 14)","(34, 42)","(48, 49)","(73, 42)","(70, 20)","(54, 12)",
"(32, 14)","(32, 41)","(48, 49)","(73, 42)","(70, 20)","(54, 12)",
"(33, 13)","(31, 40)","(48, 49)","(70, 45)","(70, 20)","(53, 11)",
"(32, 14)","(31, 40)","(48, 49)","(73, 42)","(70, 20)","(52, 11)",
"(33, 21)","(49, 15)","(66, 21)","(68, 41)","(51, 46)","(33, 36)",
"(32, 16)","(30, 38)","(51, 49)","(73, 42)","(69, 19)","(53, 12)",
"(33, 21)","(49, 15)","(66, 21)","(68, 41)","(51, 46)","(33, 36)",
"(32, 16)","(33, 41)","(47, 49)","(73, 42)","(69, 19)","(53, 12)",
"(53, 14)","(68, 23)","(69, 39)","(50, 46)","(33, 36)","(33, 21)",
"(31, 17)","(34, 42)","(48, 49)","(72, 42)","(70, 20)","(55, 12)",
"(53, 14)","(68, 23)","(69, 39)","(50, 46)","(33, 36)","(33, 21)",
"(30, 17)","(34, 42)","(48, 49)","(72, 42)","(70, 20)","(54, 12)",
"(34, 20)","(53, 14)","(65, 21)","(68, 41)","(50, 46)","(34, 38)",
"(32, 15)","(34, 42)","(48, 49)","(71, 44)","(70, 20)","(53, 11)",
"(32, 15)","(34, 42)","(48, 49)","(71, 44)","(70, 20)","(53, 11)",
"(32, 14)","(33, 42)","(48, 49)","(73, 42)","(70, 20)","(54, 12)",
"(53, 14)","(68, 24)","(69, 39)","(50, 46)","(33, 36)","(33, 21)",
"(34, 20)","(52, 14)","(66, 21)","(68, 41)","(50, 46)","(36, 39)",
"(32, 15)","(32, 41)","(47, 49)","(70, 45)","(70, 20)","(53, 11)",
"(34, 20)","(52, 14)","(66, 21)","(68, 41)","(50, 46)","(36, 39)",
"(32, 15)","(32, 41)","(47, 49)","(72, 44)","(70, 20)","(53, 11)",
"(31, 17)","(34, 42)","(50, 49)","(71, 44)","(70, 20)","(52, 11)",
"(31, 17)","(34, 42)","(50, 49)","(73, 43)","(70, 20)","(52, 11)",
"(32, 14)","(31, 40)","(48, 49)","(71, 44)","(71, 21)","(53, 12)",
"(32, 14)","(31, 40)","(48, 49)","(71, 44)","(71, 21)","(53, 12)",
"(32, 13)","(31, 40)","(50, 49)","(73, 43)","(71, 21)","(54, 12)",
"(33, 21)","(52, 14)","(69, 25)","(68, 41)","(50, 46)","(35, 39)",
"(32, 14)","(31, 40)","(47, 49)","(73, 43)","(70, 20)","(53, 11)",
"(53, 14)","(69, 25)","(69, 39)","(50, 46)","(33, 36)","(33, 21)",
"(33, 21)","(52, 14)","(66, 21)","(68, 41)","(44, 44)","(32, 35)",
"(33, 21)","(49, 15)","(69, 25)","(68, 41)","(50, 46)","(37, 40)",
"(31, 18)","(34, 42)","(47, 49)","(71, 43)","(70, 20)","(54, 12)",
"(33, 21)","(49, 15)","(69, 25)","(68, 41)","(50, 46)","(37, 40)",
"(31, 18)","(34, 42)","(47, 49)","(71, 43)","(70, 20)","(54, 12)",
"(33, 21)","(49, 15)","(69, 25)","(68, 41)","(50, 46)","(37, 40)",
"(31, 18)","(34, 42)","(47, 49)","(71, 43)","(70, 20)","(54, 12)",
"(53, 14)","(68, 24)","(69, 39)","(50, 46)","(33, 36)","(33, 22)",
"(53, 14)","(68, 24)","(69, 39)","(50, 46)","(33, 36)","(33, 22)",
"(32, 14)","(33, 41)","(48, 49)","(73, 42)","(70, 20)","(52, 11)",
"(30, 18)","(32, 41)","(51, 49)","(71, 44)","(70, 20)","(55, 12)",
"(30, 18)","(32, 41)","(51, 49)","(71, 44)","(70, 20)","(55, 12)",
"(31, 17)","(31, 40)","(48, 49)","(73, 43)","(71, 20)","(54, 12)",
"(30, 18)","(32, 41)","(48, 49)","(71, 44)","(70, 20)","(54, 12)",
"(30, 18)","(32, 41)","(48, 49)","(71, 44)","(70, 20)","(55, 12)",
"(32, 14)","(31, 40)","(48, 49)","(72, 44)","(69, 19)","(52, 11)",
"(35, 19)","(54, 15)","(69, 25)","(68, 41)","(50, 46)","(33, 36)",
"(32, 14)","(32, 41)","(47, 49)","(71, 44)","(71, 20)","(54, 12)",
"(32, 14)","(33, 41)","(47, 49)","(72, 44)","(70, 20)","(55, 12)",
"(32, 14)","(33, 41)","(47, 49)","(72, 44)","(70, 20)","(55, 12)",
"(30, 19)","(34, 42)","(48, 49)","(72, 44)","(70, 20)","(54, 12)",
"(32, 14)","(32, 40)","(48, 49)","(72, 44)","(70, 20)","(54, 12)",
"(33, 21)","(52, 14)","(69, 26)","(68, 41)","(51, 46)","(32, 35)",
"(32, 14)","(34, 42)","(48, 49)","(73, 42)","(70, 20)","(53, 11)",
"(34, 21)","(50, 15)","(65, 21)","(68, 41)","(44, 44)","(32, 35)",
"(34, 21)","(50, 15)","(69, 24)","(68, 41)","(44, 44)","(32, 35)",
"(30, 18)","(34, 42)","(47, 49)","(73, 42)","(70, 19)","(54, 12)",
"(30, 18)","(32, 41)","(47, 49)","(73, 42)","(70, 19)","(54, 12)",
"(34, 20)","(49, 15)","(69, 26)","(68, 41)","(49, 46)","(31, 37)",
"(30, 18)","(34, 42)","(48, 49)","(72, 44)","(68, 19)","(54, 12)",
"(32, 15)","(33, 41)","(48, 49)","(71, 44)","(70, 20)","(52, 11)",
"(34, 20)","(52, 14)","(69, 26)","(68, 41)","(51, 46)","(33, 36)",
"(32, 16)","(32, 41)","(48, 49)","(73, 42)","(70, 20)","(53, 11)",
"(32, 14)","(32, 41)","(48, 49)","(73, 42)","(70, 20)","(53, 11)",
"(32, 14)","(30, 37)","(52, 49)","(73, 41)","(70, 20)","(55, 12)",
"(32, 14)","(32, 41)","(48, 49)","(73, 41)","(70, 20)","(53, 12)",
"(32, 14)","(34, 42)","(48, 49)","(71, 44)","(70, 20)","(55, 12)",
"(32, 14)","(34, 42)","(48, 49)","(71, 44)","(70, 20)","(55, 12)",
"(34, 20)","(52, 14)","(66, 21)","(68, 41)","(44, 44)","(32, 35)",
"(33, 20)","(52, 14)","(66, 21)","(68, 41)","(44, 44)","(32, 35)",
"(34, 20)","(52, 14)","(66, 21)","(68, 41)","(44, 44)","(32, 35)",
"(31, 16)","(33, 41)","(47, 49)","(72, 44)","(69, 18)","(54, 11)",
"(31, 17)","(34, 42)","(48, 49)","(73, 42)","(70, 20)","(54, 12)",
"(32, 15)","(32, 41)","(47, 49)","(72, 44)","(69, 19)","(52, 11)",
"(30, 18)","(34, 42)","(47, 49)","(72, 44)","(69, 19)","(53, 11)",
"(31, 16)","(34, 42)","(47, 49)","(71, 46)","(70, 20)","(54, 12)",
"(32, 14)","(34, 42)","(48, 49)","(73, 42)","(70, 20)","(54, 12)",
"(32, 16)","(32, 41)","(47, 49)","(73, 42)","(69, 19)","(54, 12)",
"(32, 15)","(32, 41)","(47, 49)","(73, 42)","(69, 19)","(54, 12)",
"(32, 15)","(32, 41)","(47, 49)","(72, 44)","(71, 20)","(51, 11)",
"(32, 15)","(32, 41)","(47, 49)","(72, 44)","(71, 20)","(51, 11)",
"(32, 14)","(31, 40)","(48, 49)","(72, 44)","(70, 20)","(53, 12)",
"(53, 14)","(68, 23)","(69, 39)","(49, 46)","(33, 36)","(32, 23)",
"(32, 14)","(31, 40)","(48, 49)","(72, 44)","(70, 20)","(53, 12)",
"(53, 14)","(68, 23)","(69, 39)","(49, 46)","(33, 36)","(33, 23)",
"(31, 16)","(31, 40)","(48, 49)","(71, 44)","(70, 20)","(53, 12)",
"(34, 21)","(55, 15)","(68, 23)","(69, 39)","(50, 46)","(32, 34)",
"(31, 16)","(31, 40)","(48, 49)","(71, 44)","(70, 19)","(54, 12)",
"(34, 21)","(55, 15)","(68, 23)","(69, 39)","(50, 46)","(32, 34)",
"(31, 16)","(31, 40)","(48, 49)","(71, 44)","(70, 19)","(53, 12)",
"(53, 14)","(68, 23)","(69, 39)","(50, 46)","(32, 35)","(33, 21)",
"(53, 14)","(68, 23)","(69, 39)","(50, 46)","(32, 35)","(33, 21)",
"(53, 14)","(69, 24)","(69, 39)","(50, 46)","(33, 36)","(33, 23)",
"(34, 21)","(49, 15)","(69, 24)","(68, 41)","(50, 46)","(32, 35)",
"(34, 21)","(52, 14)","(69, 25)","(68, 41)","(44, 44)","(33, 36)",
"(34, 20)","(52, 14)","(69, 25)","(68, 41)","(51, 46)","(32, 34)",
"(34, 20)","(52, 14)","(69, 25)","(68, 41)","(51, 46)","(32, 34)",
"(33, 21)","(49, 15)","(68, 23)","(68, 41)","(44, 44)","(33, 37)",
"(32, 14)","(32, 41)","(48, 49)","(73, 43)","(71, 20)","(54, 12)",
"(33, 21)","(49, 15)","(68, 23)","(68, 41)","(44, 44)","(33, 37)",
"(32, 14)","(32, 41)","(48, 49)","(73, 43)","(71, 20)","(54, 12)",
"(32, 14)","(32, 41)","(47, 49)","(72, 43)","(70, 20)","(54, 12)",
"(32, 15)","(32, 41)","(47, 49)","(72, 44)","(70, 20)","(53, 11)",
"(53, 14)","(68, 24)","(69, 39)","(50, 46)","(34, 37)","(33, 23)",
"(53, 14)","(68, 24)","(69, 39)","(49, 46)","(34, 37)","(33, 23)",
"(53, 14)","(68, 24)","(69, 39)","(49, 46)","(34, 37)","(33, 23)",
"(53, 14)","(69, 25)","(69, 39)","(50, 46)","(33, 36)","(32, 23)",
"(31, 17)","(34, 42)","(48, 49)","(71, 44)","(71, 20)","(54, 12)",
"(34, 20)","(53, 14)","(67, 22)","(68, 41)","(44, 44)","(32, 35)",
"(34, 20)","(53, 14)","(67, 22)","(68, 41)","(44, 44)","(32, 35)",
"(31, 16)","(32, 41)","(50, 49)","(73, 42)","(68, 18)","(53, 12)",
"(34, 20)","(54, 15)","(67, 22)","(68, 41)","(49, 46)","(36, 39)",
"(30, 18)","(30, 39)","(51, 49)","(73, 41)","(72, 23)","(49, 12)",
"(34, 20)","(54, 15)","(67, 22)","(68, 41)","(50, 46)","(36, 39)",
"(30, 18)","(30, 38)","(47, 49)","(71, 44)","(70, 20)","(55, 12)",
"(33, 21)","(55, 15)","(68, 23)","(68, 41)","(50, 46)","(32, 35)",
"(30, 18)","(30, 38)","(47, 49)","(71, 44)","(70, 20)","(53, 11)",
"(33, 21)","(50, 15)","(66, 21)","(68, 41)","(50, 46)","(33, 37)",
"(30, 18)","(34, 42)","(47, 49)","(71, 44)","(70, 20)","(55, 12)",
"(32, 16)","(31, 40)","(48, 49)","(71, 44)","(71, 21)","(54, 12)",
"(34, 20)","(52, 14)","(66, 21)","(68, 41)","(44, 44)","(33, 35)",
"(53, 11)","(30, 19)","(29, 38)","(48, 49)","(72, 42)","(72, 22)",
"(53, 11)","(30, 19)","(29, 38)","(48, 49)","(73, 43)","(72, 22)",
"(53, 14)","(68, 23)","(69, 39)","(50, 46)","(33, 36)","(33, 22)",
"(53, 14)","(68, 23)","(69, 39)","(50, 46)","(33, 36)","(33, 22)",
"(32, 16)","(32, 41)","(47, 49)","(71, 44)","(68, 18)","(54, 11)",
"(32, 15)","(33, 41)","(47, 49)","(71, 44)","(69, 19)","(54, 12)",
"(32, 15)","(33, 41)","(47, 49)","(71, 44)","(70, 20)","(54, 12)",
"(32, 15)","(33, 41)","(47, 49)","(73, 42)","(70, 20)","(55, 12)",
"(33, 21)","(49, 15)","(66, 21)","(68, 41)","(44, 44)","(33, 36)",
"(32, 16)","(33, 41)","(49, 49)","(73, 42)","(70, 20)","(53, 11)",
"(32, 13)","(31, 40)","(49, 49)","(73, 42)","(70, 20)","(53, 11)",
"(31, 17)","(33, 41)","(47, 49)","(71, 44)","(70, 20)","(54, 12)",
"(34, 20)","(54, 15)","(67, 22)","(68, 41)","(49, 46)","(31, 37)",
"(31, 17)","(34, 42)","(47, 49)","(71, 44)","(70, 20)","(54, 12)",
"(32, 14)","(33, 41)","(47, 49)","(73, 42)","(70, 20)","(51, 11)",
"(53, 14)","(68, 24)","(69, 39)","(50, 46)","(33, 36)","(33, 21)",
"(32, 14)","(33, 41)","(47, 49)","(71, 44)","(70, 20)","(51, 11)",
"(32, 14)","(33, 41)","(47, 49)","(73, 42)","(70, 20)","(51, 11)",
"(53, 14)","(68, 23)","(69, 39)","(49, 46)","(33, 36)","(33, 21)",
"(52, 11)","(30, 18)","(30, 38)","(48, 49)","(72, 42)","(71, 21)",
"(33, 21)","(49, 15)","(66, 21)","(68, 41)","(44, 44)","(33, 36)",
"(53, 14)","(69, 25)","(69, 39)","(50, 46)","(34, 37)","(33, 22)",
"(53, 14)","(69, 25)","(69, 39)","(49, 46)","(34, 37)","(33, 22)",
"(53, 14)","(69, 25)","(69, 39)","(50, 46)","(34, 37)","(33, 22)",
"(33, 21)","(49, 15)","(66, 21)","(68, 41)","(44, 44)","(32, 35)",
"(33, 21)","(49, 15)","(66, 21)","(68, 41)","(44, 44)","(32, 35)",
"(53, 14)","(69, 25)","(69, 39)","(50, 46)","(32, 35)","(33, 22)",
"(32, 14)","(32, 41)","(49, 49)","(73, 42)","(69, 19)","(53, 11)",
"(53, 14)","(69, 25)","(69, 39)","(50, 46)","(32, 35)","(33, 22)",
"(32, 14)","(32, 41)","(49, 49)","(72, 44)","(69, 19)","(53, 11)",
"(53, 14)","(68, 23)","(69, 39)","(49, 46)","(33, 36)","(33, 23)",
"(31, 18)","(33, 41)","(48, 49)","(73, 42)","(69, 18)","(54, 12)",
"(34, 21)","(49, 15)","(66, 21)","(68, 41)","(44, 44)","(33, 36)",
"(31, 18)","(33, 41)","(48, 49)","(73, 42)","(69, 18)","(54, 12)",
"(32, 13)","(31, 40)","(48, 49)","(73, 42)","(70, 20)","(54, 12)",
"(31, 16)","(31, 40)","(47, 49)","(71, 44)","(70, 20)","(55, 12)",
"(53, 14)","(68, 23)","(69, 39)","(50, 46)","(33, 36)","(33, 21)",
"(53, 14)","(68, 23)","(69, 39)","(50, 46)","(33, 36)","(33, 21)",
"(32, 14)","(33, 41)","(48, 49)","(71, 44)","(70, 20)","(53, 11)",
"(33, 21)","(49, 15)","(64, 20)","(69, 40)","(51, 46)","(32, 35)",
"(32, 14)","(33, 41)","(48, 49)","(73, 42)","(70, 20)","(54, 12)",
"(31, 16)","(32, 41)","(47, 49)","(70, 45)","(71, 20)","(54, 12)",
"(31, 16)","(32, 41)","(47, 49)","(70, 45)","(70, 20)","(54, 12)",
"(35, 19)","(52, 14)","(69, 26)","(68, 41)","(50, 46)","(36, 39)",
"(32, 14)","(31, 40)","(48, 49)","(74, 43)","(69, 19)","(52, 11)",
"(32, 14)","(31, 40)","(48, 49)","(73, 42)","(70, 20)","(54, 12)",
"(53, 11)","(30, 18)","(31, 40)","(48, 49)","(73, 42)","(71, 21)",
"(53, 14)","(68, 24)","(69, 39)","(49, 46)","(33, 37)","(33, 22)",
"(53, 14)","(68, 24)","(69, 39)","(50, 46)","(32, 35)","(33, 22)",
"(31, 16)","(33, 41)","(48, 49)","(72, 44)","(71, 20)","(54, 12)",
"(31, 16)","(33, 41)","(48, 49)","(73, 42)","(70, 20)","(55, 12)",
"(31, 16)","(33, 41)","(48, 49)","(73, 42)","(70, 20)","(55, 12)",
"(31, 16)","(31, 40)","(48, 49)","(73, 42)","(70, 19)","(54, 12)",
"(32, 16)","(34, 42)","(50, 49)","(71, 44)","(70, 20)","(55, 12)",
"(32, 16)","(33, 41)","(50, 49)","(71, 44)","(70, 20)","(54, 12)",
"(34, 20)","(49, 15)","(69, 25)","(68, 41)","(52, 46)","(33, 36)",
"(34, 20)","(49, 15)","(69, 25)","(68, 41)","(52, 46)","(33, 36)",
"(32, 14)","(32, 41)","(48, 49)","(73, 42)","(70, 19)","(51, 11)",
"(32, 14)","(32, 41)","(48, 49)","(73, 42)","(70, 19)","(55, 12)",
"(32, 16)","(31, 40)","(48, 49)","(73, 42)","(70, 20)","(53, 11)",
"(32, 16)","(33, 41)","(48, 49)","(73, 42)","(70, 20)","(53, 11)",
"(33, 21)","(52, 14)","(69, 24)","(68, 41)","(44, 44)","(32, 35)",
"(32, 14)","(32, 41)","(47, 49)","(73, 42)","(70, 20)","(55, 12)",
"(33, 21)","(52, 14)","(69, 24)","(68, 41)","(44, 44)","(32, 35)",
"(32, 14)","(32, 41)","(47, 49)","(73, 42)","(70, 20)","(55, 12)",
"(31, 16)","(32, 41)","(48, 49)","(73, 42)","(70, 20)","(54, 12)",
"(32, 14)","(33, 41)","(48, 49)","(73, 42)","(70, 20)","(53, 12)",
"(33, 21)","(49, 15)","(64, 20)","(68, 41)","(50, 46)","(32, 35)",
"(53, 14)","(69, 24)","(69, 39)","(50, 46)","(34, 37)","(32, 23)",
