"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Center,Start Time,Stop Time,Duration,FPS,Red Warning,Orange Warning,Wind Warning
"(33, 31)","(50, 25)","(69, 35)","(69, 50)","(53, 56)","(32, 46)","(50, 40)",,,,,,,
"(33, 31)","(58, 27)","(69, 35)","(69, 50)","(53, 56)","(32, 46)","(50, 40)",,,,,,,
"(33, 31)","(50, 25)","(69, 35)","(69, 50)","(52, 56)","(32, 46)","(50, 40)",,,,,,,
"(33, 31)","(50, 25)","(69, 35)","(69, 50)","(52, 56)","(32, 46)","(50, 40)",,,,,,,
"(33, 31)","(49, 25)","(69, 35)","(69, 50)","(44, 55)","(32, 46)","(50, 40)",,,,,,,
"(33, 31)","(49, 25)","(69, 35)","(69, 50)","(53, 56)","(32, 46)","(50, 40)",,,,,,,
"(33, 31)","(58, 27)","(69, 35)","(69, 50)","(53, 56)","(32, 46)","(50, 40)",,,,,,,
"(33, 31)","(50, 25)","(69, 35)","(69, 50)","(53, 56)","(32, 46)","(50, 40)",,,,,,,
"(33, 31)","(50, 25)","(69, 35)","(69, 50)","(53, 56)","(32, 46)","(50, 40)",,,,,,,
"(33, 31)","(56, 26)","(69, 35)","(69, 50)","(53, 56)","(32, 46)","(50, 40)",,,,,,,
"(33, 31)","(50, 25)","(69, 35)","(69, 50)","(42, 54)","(32, 46)","(50, 40)",,,,,,,
"(33, 31)","(49, 25)","(69, 35)","(69, 50)","(53, 56)","(32, 46)","(50, 40)",,,,,,,
"(33, 31)","(56, 26)","(69, 35)","(69, 50)","(44, 55)","(32, 46)","(50, 40)",,,,,,,
"(30, 28)","(32, 51)","(48, 59)","(71, 53)","(68, 29)","(53, 22)","(50, 40)",,,,,,,
"(32, 32)","(56, 26)","(69, 35)","(69, 50)","(45, 55)","(32, 46)","(50, 40)",,,,,,,
"(32, 32)","(56, 26)","(69, 35)","(69, 50)","(45, 55)","(32, 46)","(50, 40)",,,,,,,
"(33, 31)","(50, 25)","(65, 31)","(69, 50)","(42, 54)","(32, 46)","(50, 40)",,,,,,,
"(33, 31)","(58, 27)","(69, 35)","(69, 50)","(53, 56)","(32, 46)","(50, 40)",,,,,,,
"(33, 31)","(50, 25)","(69, 35)","(69, 50)","(53, 56)","(32, 46)","(50, 40)",,,,,,,
"(33, 31)","(50, 25)","(69, 35)","(69, 50)","(52, 56)","(32, 46)","(50, 40)",,,,,,,
"(33, 31)","(49, 25)","(69, 35)","(69, 50)","(52, 56)","(32, 46)","(50, 40)",,,,,,,
"(32, 32)","(54, 25)","(68, 34)","(69, 50)","(45, 55)","(32, 46)","(50, 40)",,,,,,,
"(32, 32)","(54, 25)","(68, 34)","(69, 50)","(45, 55)","(32, 46)","(50, 40)",,,,,,,
"(33, 31)","(50, 25)","(69, 35)","(69, 50)","(43, 54)","(32, 46)","(50, 40)",,,,,,,
"(33, 31)","(50, 25)","(69, 35)","(69, 50)","(45, 55)","(32, 46)","(50, 40)",,,,,,,
"(33, 31)","(49, 25)","(69, 35)","(69, 50)","(44, 55)","(32, 46)","(50, 40)",,,,,,,
"(33, 31)","(49, 25)","(69, 35)","(69, 50)","(42, 54)","(32, 46)","(50, 40)",,,,,,,
"(30, 28)","(32, 51)","(48, 59)","(71, 53)","(68, 29)","(53, 22)","(50, 40)",,,,,,,
"(33, 31)","(50, 25)","(69, 35)","(69, 50)","(53, 56)","(32, 46)","(50, 40)",,,,,,,
"(33, 31)","(50, 25)","(69, 35)","(69, 50)","(53, 56)","(32, 46)","(50, 40)",,,,,,,
"(54, 21)","(30, 28)","(31, 50)","(48, 59)","(72, 51)","(71, 32)","(50, 40)",,,,,,,
"(33, 31)","(58, 27)","(69, 35)","(69, 50)","(53, 56)","(35, 50)","(50, 40)",,,,,,,
"(32, 33)","(54, 25)","(69, 35)","(69, 50)","(44, 55)","(32, 46)","(50, 40)",,,,,,,
"(33, 31)","(50, 25)","(69, 35)","(69, 50)","(44, 55)","(32, 46)","(50, 40)",,,,,,,
"(33, 31)","(50, 25)","(69, 36)","(69, 50)","(43, 54)","(32, 46)","(50, 40)",,,,,,,
"(33, 31)","(58, 27)","(69, 35)","(69, 50)","(53, 56)","(32, 46)","(50, 40)",,,,,,,
"(33, 31)","(50, 25)","(69, 35)","(69, 50)","(53, 56)","(32, 46)","(50, 40)",,,,,,,
"(32, 33)","(56, 26)","(68, 33)","(69, 50)","(45, 55)","(32, 46)","(50, 40)",,,,,,,
"(33, 31)","(58, 27)","(69, 35)","(69, 50)","(44, 55)","(32, 46)","(50, 40)",,,,,,,
"(30, 28)","(32, 51)","(48, 59)","(71, 53)","(70, 30)","(53, 22)","(50, 40)",,,,,,,
"(30, 28)","(33, 52)","(48, 59)","(71, 53)","(69, 29)","(53, 22)","(50, 40)",,,,,,,
"(33, 31)","(49, 25)","(69, 35)","(69, 50)","(44, 55)","(32, 46)","(50, 40)",,,,,,,
"(33, 31)","(49, 25)","(69, 35)","(69, 50)","(53, 56)","(32, 46)","(50, 40)",,,,,,,
"(33, 31)","(50, 25)","(69, 35)","(69, 50)","(44, 55)","(32, 46)","(50, 40)",,,,,,,
"(33, 31)","(50, 25)","(69, 35)","(69, 50)","(44, 55)","(32, 46)","(50, 40)",,,,,,,
"(33, 31)","(50, 25)","(64, 30)","(69, 50)","(53, 56)","(32, 46)","(50, 40)",,,,,,,
"(32, 33)","(54, 25)","(69, 35)","(69, 50)","(44, 55)","(32, 46)","(50, 40)",,,,,,,
"(33, 31)","(50, 25)","(64, 30)","(69, 50)","(53, 56)","(32, 46)","(50, 40)",,,,,,,
"(33, 31)","(58, 27)","(69, 35)","(69, 50)","(44, 55)","(32, 46)","(50, 40)",,,,,,,
"(33, 31)","(50, 25)","(69, 35)","(69, 50)","(44, 55)","(32, 46)","(50, 40)",,,,,,,
"(33, 31)","(50, 25)","(69, 36)","(69, 50)","(53, 56)","(35, 50)","(50, 40)",,,,,,,
"(33, 31)","(50, 25)","(69, 35)","(69, 50)","(44, 55)","(32, 46)","(50, 40)",,,,,,,
"(33, 31)","(58, 27)","(69, 35)","(69, 50)","(53, 56)","(32, 46)","(50, 40)",,,,,,,
"(32, 25)","(32, 51)","(47, 59)","(71, 53)","(69, 29)","(53, 22)","(50, 40)",,,,,,,
"(33, 31)","(50, 25)","(69, 35)","(69, 50)","(44, 55)","(32, 46)","(50, 40)",,,,,,,
"(33, 31)","(50, 25)","(69, 36)","(69, 50)","(53, 56)","(32, 46)","(50, 40)",,,,,,,
"(33, 31)","(56, 26)","(69, 35)","(69, 50)","(44, 55)","(32, 46)","(50, 40)",,,,,,,
"(33, 31)","(50, 25)","(69, 35)","(69, 50)","(53, 56)","(32, 46)","(50, 40)",,,,,,,
"(33, 31)","(49, 25)","(69, 35)","(69, 50)","(53, 56)","(32, 46)","(50, 40)",,,,,,,
"(33, 31)","(58, 27)","(69, 35)","(69, 50)","(53, 56)","(32, 46)","(50, 40)",,,,,,,
"(33, 31)","(50, 25)","(69, 35)","(69, 50)","(53, 56)","(32, 46)","(50, 40)",,,,,,,
"(33, 31)","(50, 25)","(69, 35)","(69, 50)","(53, 56)","(32, 46)","(50, 40)",,,,,,,
"(33, 31)","(49, 25)","(69, 35)","(69, 50)","(42, 54)","(32, 46)","(50, 40)",,,,,,,
"(33, 31)","(58, 27)","(69, 35)","(69, 50)","(53, 56)","(32, 46)","(50, 40)",,,,,,,
"(33, 31)","(50, 25)","(69, 36)","(69, 50)","(43, 54)","(32, 46)","(50, 40)",,,,,,,
"(33, 31)","(58, 27)","(69, 35)","(69, 50)","(53, 56)","(32, 46)","(50, 40)",,,,,,,
"(33, 31)","(56, 26)","(69, 35)","(69, 50)","(53, 56)","(32, 46)","(50, 40)",,,,,,,
"(33, 31)","(56, 26)","(69, 35)","(69, 50)","(53, 56)","(32, 46)","(50, 40)",,,,,,,
"(33, 31)","(58, 27)","(69, 35)","(69, 50)","(53, 56)","(32, 46)","(50, 40)",,,,,,,
"(33, 31)","(50, 25)","(69, 35)","(69, 50)","(44, 55)","(32, 46)","(50, 40)",,,,,,,
"(33, 31)","(49, 25)","(69, 35)","(69, 50)","(52, 56)","(32, 46)","(50, 40)",,,,,,,
"(33, 31)","(54, 25)","(69, 35)","(69, 50)","(44, 55)","(32, 46)","(50, 40)",,,,,,,
